"開票区","名前","得票数","開票区総数","開票区得票率","平均年収"
"国立市","アキノリ将軍未満",11,40353.999,0.00027258760649719,4668971.51674593
"福生市","野間口翔",6,25336.998,0.000236807849138244,3282727.64935246
"福生市","さわしげみ",8,25336.998,0.000315743798850993,3282727.64935246
"福生市","大和行男",31,25336.998,0.0012235072205476,3282727.64935246
"福生市","木宮みつき",19,25336.998,0.000749891522271107,3282727.64935246
"福生市","小池ゆりこ",12488,25336.998,0.492876070006399,3282727.64935246
"福生市","うつみさとる",475,25336.998,0.0187472880567777,3282727.64935246
"福生市","石丸伸二",5197.993,25336.998,0.205154257027608,3282727.64935246
"福生市","小野寺こうき",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","しんどう伸夫",2,25336.998,7.89359497127481e-05,3282727.64935246
"福生市","竹本秀之",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","桜井誠",359,25336.998,0.0141690029734383,3282727.64935246
"福生市","ドクター・中松",109,25336.998,0.00430200925934477,3282727.64935246
"福生市","安野たかひろ",180,25336.998,0.00710423547414733,3282727.64935246
"福生市","清水国明",192,25336.998,0.00757785117242382,3282727.64935246
"福生市","ＡＩメイヤー",12,25336.998,0.000473615698276489,3282727.64935246
"福生市","桑原まりこ",10,25336.998,0.000394679748563741,3282727.64935246
"福生市","ゴトウテルキ",20,25336.998,0.000789359497127481,3282727.64935246
"福生市","河合ゆうすけ",6,25336.998,0.000236807849138244,3282727.64935246
"福生市","福本繁幸",15,25336.998,0.000592019622845611,3282727.64935246
"福生市","黒川あつひこ",12,25336.998,0.000473615698276489,3282727.64935246
"福生市","桑島康文",0,25336.998,0,3282727.64935246
"福生市","田母神としお",1002,25336.998,0.0395469108060868,3282727.64935246
"福生市","蓮舫",4393,25336.998,0.173382813544051,3282727.64935246
"福生市","ないとうひさお",9,25336.998,0.000355211773707367,3282727.64935246
"福生市","内野愛里",12,25336.998,0.000473615698276489,3282727.64935246
"福生市","石丸幸人",327.006,25336.998,0.0129062645858835,3282727.64935246
"福生市","尾関あゆみ",0,25336.998,0,3282727.64935246
"福生市","小松けん",4,25336.998,0.000157871899425496,3282727.64935246
"福生市","かがたたくじ",6,25336.998,0.000236807849138244,3282727.64935246
"福生市","福永かつや",4,25336.998,0.000157871899425496,3282727.64935246
"福生市","犬伏宏明",0,25336.998,0,3282727.64935246
"福生市","武内隆",0,25336.998,0,3282727.64935246
"福生市","遠藤信一",3,25336.998,0.000118403924569122,3282727.64935246
"福生市","上楽むねゆき",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","二宮大造",3,25336.998,0.000118403924569122,3282727.64935246
"福生市","中江ともや",2,25336.998,7.89359497127481e-05,3282727.64935246
